ACCIDENT_NO,NODE_ID,COMPLEX_INT_NO
T20060036491,713,6096
T20060036584,35737,6772
T20060036592,55362,1143
T20060036704,119,9612
T20060036748,41779,5988
T20060037050,46278,6011
T20060037065,1316,8736
T20060037066,42819,6563
T20060037189,39842,5321
T20060037198,39785,5416
T20060037234,39765,5206
T20060037287,39777,5295
T20060037324,49683,1003
T20060037421,52850,102025
T20060037504,42815,6544
T20060037514,30030,2460
T20060037515,40772,5753
T20060037530,50704,8020
T20060037595,29710,6445
T20060037609,57472,9530
T20060037651,371,9608
T20060037702,35408,9657
T20060037740,1172,6792
T20060037842,131892,6542
T20060037859,44193,5003
T20060037922,41894,5932
T20060037938,38482,5050
T20060037985,45938,9433
T20060038091,37702,5596
T20060038120,43631,6666
T20060038130,41635,5921
T20060038152,42146,6332
T20060038195,899,6833
T20060038286,234871,8854
T20060038293,14111,101214
T20060038320,44621,8987
T20060038337,12256,8989
T20060038353,38198,8784
T20060038376,52933,2387
T20060038415,83,9402
T20060038440,29627,5526
T20060038493,301937,8853
T20060038563,36529,6475
T20060038597,10592,1000
T20060038612,37019,6704
T20060038628,29836,9447
T20060038713,37297,9053
T20060038761,58068,9728
T20060038765,39715,5186
T20060038776,41366,6023
T20060038817,29387,9521
T20060038867,29464,9643
T20060038868,934,6938
T20060038875,793,1000
T20060038875,793,6245
T20060038908,43633,6600
T20060038936,40620,5728
T20060038984,39521,5360
T20060039003,57521,5695
T20060039009,37894,9123
T20060039037,29813,9204
T20060039040,52770,2287
T20060039049,40612,5613
T20060039114,38688,9403
T20060039175,71201,6742
T20060039179,49034,101364
T20060039189,42859,8861
T20060039199,40894,5585
T20060039225,44433,9049
T20060039354,41713,5798
T20060039389,49800,7678
T20060039431,15430,7821
T20060039466,83,9402
T20060039494,45322,9150
T20060039571,38483,5051
T20060039606,50095,7768
T20060039728,260,102903
T20060039747,53345,7998
T20060039766,39492,5221
T20060039775,36983,9581
T20060039783,40904,5460
T20060039889,29592,9671
T20060040003,43287,6699
T20060040047,39728,9019
T20060040100,73111,7109
T20060040108,40942,5674
T20060040133,49968,7722
T20060040145,43367,1022
T20060040155,1323,8786
T20060040166,29372,9309
T20060040168,206893,9305
T20060040183,39557,5332
T20060040184,44081,7155
T20060040206,55960,7821
T20060040251,552,102905
T20060040253,35737,6772
T20060040276,36321,6357
T20060040323,41933,5864
T20060040357,53325,1221
T20060040451,39558,5337
T20060040519,43772,8914
T20060040523,1323,8786
T20060040526,35784,7797
T20060040547,73449,1009
T20060040566,35562,5981
T20060040655,42197,6313
T20060040657,55216,5561
T20060040667,42744,6382
T20060040692,42744,6382
T20060040718,52494,1024
T20060040725,39492,5221
T20060040817,55965,1223
T20060040835,43431,6976
T20060040879,39905,9588
T20060040993,58780,3067
T20060040997,35532,5664
T20060041092,42746,6367
T20060041102,56014,2416
T20060041120,1322,8768
T20060041151,119,9612
T20060041155,15406,7740
T20060041165,55632,4028
T20060041180,43143,6433
T20060041249,54051,1263
T20060041336,534,5290
T20060041340,52445,1192
T20060041501,83,9402
T20060041619,29416,9498
T20060041646,55630,6940
T20060041649,55631,6987
T20060041700,45133,9143
T20060041715,38056,9111
T20060041762,22,9361
T20060041783,41936,5879
T20060041821,50545,7795
T20060041890,40525,5713
T20060041921,36019,9153
T20060041940,46819,9617
T20060041999,35346,9614
T20060042031,48950,5257
T20060042119,53325,1221
T20060042170,37894,9123
T20060042452,51684,4180
T20060042459,42661,6282
T20060042525,49826,7689
T20060042717,36945,9514
T20060042733,38578,9566
T20060042790,15202,3093
T20060042810,51348,4022
T20060042825,46197,6363
T20060042837,53325,1221
T20060042911,17632,3147
T20060042925,41802,5913
T20060042985,37597,9637
T20060043047,29710,6445
T20060043070,10929,6806
T20060043118,29816,9249
T20060043133,45650,9105
T20060043137,53276,8874
T20060043205,16807,8003
T20060043207,49729,7642
T20060043218,622,5762
T20060043225,39191,5190
T20060043276,44366,9735
T20060043308,48839,8925
T20060043360,883,9040
T20060043395,54453,9543
T20060043423,42200,6340
T20060043431,40857,9037
T20060043525,52239,1252
T20060043603,43584,7057
T20060043684,29364,9306
T20060043700,207203,6087
T20060043776,29425,9516
T20060043778,50848,3023
T20060043787,35315,6521
T20060043844,56018,1337
T20060043920,1323,8786
T20060043942,40643,5481
T20060044016,43973,7093
T20060044025,612,5608
T20060044046,49991,101902
T20060044177,55646,100417
T20060044246,29816,9249
T20060044270,44245,8587
T20060044278,627,5482
T20060044399,53127,1210
T20060044456,68135,5775
T20060044510,45879,6073
T20060044634,43655,6720
T20060044655,41148,9717
T20060044659,37962,9095
T20060044713,36291,9428
T20060044716,35526,5469
T20060044781,50015,7739
T20060044794,43220,6701
T20060044813,587,5727
T20060044838,37704,5593
T20060044890,39785,5416
