ACCIDENT_NO,SURFACE_COND,Surface Cond Desc,SURFACE_COND_SEQ
T20120001291,1,Dry,1
T20120001292,1,Dry,1
T20120001293,1,Dry,1
T20120001296,1,Dry,1
T20120001298,1,Dry,1
T20120001299,1,Dry,1
T20120001300,1,Dry,1
T20120001301,1,Dry,1
T20120001302,1,Dry,0
T20120001303,2,Wet,1
T20120001306,1,Dry,1
T20120001307,9,Unknown,1
T20120001309,1,Dry,1
T20120001311,1,Dry,1
T20120001312,1,Dry,1
T20120001314,1,Dry,1
T20120001316,1,Dry,1
T20120001318,1,Dry,1
T20120001323,1,Dry,1
T20120001324,1,Dry,1
T20120001326,1,Dry,1
T20120001331,2,Wet,1
T20120001332,9,Unknown,1
T20120001339,1,Dry,1
T20120001340,1,Dry,1
T20120001343,1,Dry,1
T20120001344,1,Dry,1
T20120001347,2,Wet,1
T20120001349,1,Dry,1
T20120001354,1,Dry,1
T20120001355,1,Dry,1
T20120001356,1,Dry,1
T20120001357,1,Dry,1
T20120001358,9,Unknown,1
T20120001361,1,Dry,1
T20120001364,1,Dry,1
T20120001366,1,Dry,1
T20120001369,9,Unknown,1
T20120001370,1,Dry,1
T20120001371,1,Dry,1
T20120001372,1,Dry,1
T20120001374,1,Dry,1
T20120001375,1,Dry,1
T20120001376,9,Unknown,0
T20120001378,1,Dry,1
T20120001380,1,Dry,1
T20120001382,1,Dry,1
T20120001384,9,Unknown,1
T20120001390,1,Dry,1
T20120001391,1,Dry,1
T20120001392,1,Dry,1
T20120001395,1,Dry,1
T20120001396,1,Dry,1
T20120001399,1,Dry,1
T20120001401,1,Dry,1
T20120001403,9,Unknown,1
T20120001406,1,Dry,1
T20120001407,1,Dry,1
T20120001408,1,Dry,1
T20120001410,1,Dry,1
T20120001411,1,Dry,0
T20120001412,1,Dry,1
T20120001413,1,Dry,1
T20120001415,1,Dry,1
T20120001417,1,Dry,1
T20120001419,1,Dry,1
T20120001421,1,Dry,1
T20120001422,1,Dry,1
T20120001426,1,Dry,1
T20120001427,1,Dry,1
T20120001429,9,Unknown,1
T20120001431,1,Dry,1
T20120001435,2,Wet,1
T20120001437,1,Dry,1
T20120001438,1,Dry,1
T20120001441,1,Dry,1
T20120001444,1,Dry,1
T20120001447,2,Wet,1
T20120001448,1,Dry,1
T20120001449,1,Dry,1
T20120001452,1,Dry,1
T20120001455,9,Unknown,1
T20120001456,1,Dry,1
T20120001457,1,Dry,1
T20120001458,5,Icy,1
T20120001460,1,Dry,1
T20120001461,1,Dry,1
T20120001463,1,Dry,1
T20120001467,1,Dry,1
T20120001469,1,Dry,1
T20120001470,1,Dry,1
T20120001473,1,Dry,1
T20120001475,1,Dry,1
T20120001476,1,Dry,1
T20120001477,1,Dry,1
T20120001478,1,Dry,0
T20120001479,1,Dry,1
T20120001481,9,Unknown,1
T20120001483,1,Dry,1
T20120001484,9,Unknown,0
T20120001485,1,Dry,1
T20120001488,1,Dry,1
T20120001489,1,Dry,1
T20120001491,1,Dry,1
T20120001492,1,Dry,1
T20120001494,1,Dry,1
T20120001496,1,Dry,1
